"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2025","73.74","72.46","73.86","70.84","0.38K","3.03%"
"01/03/2025","74.45","73.94","74.70","73.61","0.62K","0.96%"
"01/06/2025","72.87","73.99","73.99","72.48","0.11K","-2.12%"
"01/07/2025","72.56","72.34","73.01","71.52","0.68K","-0.43%"
"01/08/2025","70.70","72.62","72.68","70.64","0.30K","-2.56%"
"01/09/2025","71.98","71.00","72.19","70.10","0.32K","1.81%"
"01/10/2025","73.34","71.68","73.60","71.06","0.61K","1.89%"
"01/13/2025","75.34","74.00","75.35","74.00","0.13K","2.73%"
"01/14/2025","75.36","75.22","75.59","74.24","0.98K","0.03%"
"01/15/2025","76.34","76.15","77.22","76.15","0.33K","1.30%"
"01/16/2025","76.69","75.93","76.75","75.81","2.27K","0.46%"
"01/17/2025","77.60","76.23","78.57","76.23","1.15K","1.19%"
"01/20/2025","78.32","77.40","78.37","76.93","1.87K","0.93%"
"01/21/2025","78.60","78.30","78.68","76.33","1.44K","0.36%"
"01/22/2025","77.29","78.29","78.29","76.87","0.88K","-1.67%"
"01/23/2025","79.06","77.70","80.05","77.70","6.36K","2.29%"
"01/24/2025","79.95","79.38","80.00","78.30","1.14K","1.13%"
"01/27/2025","77.65","79.41","79.43","77.54","3.07K","-2.88%"
"01/28/2025","78.55","77.50","78.66","77.15","1.74K","1.16%"
"01/29/2025","81.18","79.37","81.93","79.34","0.87K","3.35%"
"01/30/2025","80.91","81.04","82.67","80.57","0.44K","-0.33%"
"01/31/2025","82.19","81.41","82.60","81.08","0.39K","1.58%"
"02/03/2025","79.30","81.73","81.73","78.50","1.42K","-3.52%"
"02/04/2025","79.23","79.39","80.00","78.06","1.23K","-0.09%"
"02/05/2025","79.49","79.08","80.87","78.28","0.42K","0.33%"
"02/06/2025","80.30","79.36","81.06","79.32","1.14K","1.02%"
"02/07/2025","80.65","80.15","81.00","79.70","0.78K","0.44%"
"02/10/2025","81.29","81.53","82.55","81.20","0.61K","0.79%"
"02/11/2025","80.92","80.61","82.16","80.07","0.63K","-0.46%"
"02/12/2025","78.64","80.30","80.30","78.50","2.69K","-2.82%"
"02/13/2025","76.44","78.01","78.33","76.35","2.62K","-2.80%"
"02/14/2025","78.12","75.81","78.18","75.74","0.30K","2.20%"
"02/17/2025","75.61","77.67","77.70","75.26","1.06K","-3.21%"
"02/18/2025","74.16","75.40","75.75","73.09","0.31K","-1.92%"
"02/19/2025","72.47","74.39","74.67","72.15","2.50K","-2.28%"
"02/20/2025","71.13","71.95","72.17","70.82","1.10K","-1.85%"
"02/21/2025","72.37","71.22","73.25","71.22","0.20K","1.74%"
"02/24/2025","72.14","72.78","72.79","70.69","0.45K","-0.32%"
"02/25/2025","70.26","72.06","72.07","69.68","0.99K","-2.61%"
"02/26/2025","69.56","69.96","70.98","69.26","0.22K","-1.00%"
"02/27/2025","71.32","69.77","71.70","69.66","2.07K","2.53%"
"02/28/2025","69.56","71.80","71.95","69.37","0.79K","-2.47%"
"03/03/2025","70.12","70.91","71.29","69.88","0.81K","0.81%"
"03/04/2025","67.13","69.98","69.98","66.51","1.45K","-4.26%"
"03/05/2025","67.40","66.95","68.13","66.74","1.29K","0.40%"
"03/06/2025","65.93","67.36","67.73","65.50","2.37K","-2.18%"
"03/07/2025","67.21","65.48","68.00","65.48","2.08K","1.94%"
"03/10/2025","67.57","67.03","68.56","66.50","2.97K","0.54%"
