Open,Close,High,Low,Volume,Date
114,114.2,115.5,114,,01/02/25
114,113.3,114,113.3,,01/03/25
111,111.2,111.2,110.45,,01/06/25
109.05,109.8,110,109,,01/07/25
109,108,109.05,108,,01/08/25
107,105.75,107,104.25,,01/09/25
103.3,104,104,103.3,,01/10/25
107.25,107.25,107.25,107.25,,01/13/25
108.85,108.85,108.85,108.85,,01/14/25
105,106.95,106.95,105,,01/15/25
107,108,108,107,,01/16/25
109,109,109,109,,01/17/25
0,110.7,0,0,,01/20/25
0,112.2,0,0,,01/21/25
110.75,108.5,111.25,108.5,,01/22/25
109.5,109.5,109.5,109.5,,01/23/25
0,108.65,0,0,,01/24/25
0,109.1,0,0,,01/27/25
110.25,110.25,110.25,110.25,,01/28/25
110.75,110.75,110.75,110.75,,01/29/25
110.3,110.1,110.3,110.1,,01/30/25
0,110.5,0,0,,01/31/25
110.75,109.05,110.75,109.05,,02/03/25
107.8,105.55,107.8,105.4,,02/04/25
104.75,105.5,105.95,104.5,,02/05/25
105,106.25,106.5,105,,02/06/25
105,104.75,105,104.75,,02/07/25
105.5,105.5,105.5,105.5,,02/10/25
0,102.9,0,0,,02/11/25
0,103.1,0,0,,02/12/25
0,102.15,0,0,,02/13/25
100,100.15,100.15,100,,02/14/25
0,99.5,0,0,,02/17/25
99,99,99,99,,02/18/25
101.9,101.9,101.9,101.9,,02/19/25
0,100.4,0,0,,02/20/25
0,99.75,0,0,,02/21/25
0,100.1,0,0,,02/24/25
0,99.75,0,0,,02/25/25
0,99.9,0,0,,02/26/25
0,99.75,0,0,,02/27/25
0,93.05,0,0,,02/28/25
93.2,96.25,96.25,93.2,,03/03/25
96.45,96.25,97.25,96.25,,03/04/25
97.75,96.5,97.75,96.5,,03/05/25
96.8,96.7,96.8,96.7,,03/06/25
97.5,100.45,100.45,97.5,,03/07/25
99.5,99.5,100,99.5,,03/10/25
99.25,99.1,99.25,98.5,,03/11/25
0,97.95,0,0,,03/12/25
100,98.5,100,98.5,,03/13/25
97.5,97.5,97.5,97.5,,03/14/25
0,97.1,0,0,,03/17/25
0,96.75,0,0,,03/18/25
0,97.75,0,0,,03/19/25
0,97.75,0,0,,03/20/25
98.25,98.25,98.25,98.25,,03/21/25
0,97.6,0,0,,03/24/25
0,97.05,0,0,,03/25/25
