"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2025","74.60","74.60","74.60","74.60","","2.19%"
"01/03/2025","75.00","75.00","75.00","75.00","","0.54%"
"01/06/2025","74.95","74.95","74.95","74.95","","-0.07%"
"01/07/2025","74.75","74.75","74.75","74.75","","-0.27%"
"01/08/2025","72.70","72.70","72.70","72.70","","-2.74%"
"01/09/2025","73.20","73.20","73.20","73.20","","0.69%"
"01/10/2025","73.55","73.55","73.55","73.55","","0.48%"
"01/13/2025","73.75","73.75","73.75","73.75","","0.27%"
"01/14/2025","73.75","73.75","73.75","73.75","","0.00%"
"01/15/2025","73.75","73.75","73.75","73.75","","0.00%"
"01/16/2025","73.80","73.80","73.80","73.80","","0.07%"
"01/17/2025","73.95","73.95","73.95","73.95","","0.20%"
"01/21/2025","74.00","74.00","74.00","74.00","","0.07%"
"01/22/2025","73.50","73.50","73.50","73.50","","-0.68%"
"01/23/2025","73.50","73.50","73.50","73.50","","0.00%"
"01/24/2025","71.80","71.80","71.80","71.80","","-2.31%"
"01/27/2025","68.70","68.70","68.70","68.70","","-4.32%"
"01/28/2025","69.20","69.20","69.20","69.20","","0.73%"
"01/29/2025","70.75","70.75","70.75","70.75","","2.24%"
"01/30/2025","71.20","71.20","71.20","71.20","","0.64%"
"01/31/2025","71.35","71.35","71.35","71.35","","0.21%"
"02/03/2025","72.80","72.80","72.80","72.80","","2.03%"
"02/04/2025","71.10","71.10","71.10","71.10","","-2.34%"
"02/05/2025","70.35","70.35","70.35","70.35","","-1.05%"
"02/06/2025","69.95","69.95","69.95","69.95","","-0.57%"
"02/07/2025","69.65","69.65","69.65","69.65","","-0.43%"
"02/10/2025","68.40","68.40","68.40","68.40","","-1.79%"
"02/11/2025","67.35","67.35","67.35","67.35","","-1.54%"
"02/12/2025","67.70","67.70","67.70","67.70","","0.52%"
"02/13/2025","67.50","67.50","67.50","67.50","","-0.30%"
"02/14/2025","66.45","66.45","66.45","66.45","","-1.56%"
"02/18/2025","64.30","64.30","64.30","64.30","","-3.24%"
"02/19/2025","64.80","64.80","64.80","64.80","","0.78%"
"02/20/2025","64.90","64.90","64.90","64.90","","0.15%"
"02/21/2025","64.70","64.70","64.70","64.70","","-0.31%"
"02/24/2025","64.70","64.70","64.70","64.70","","0.00%"
"02/25/2025","65.75","65.75","65.75","65.75","","1.62%"
"02/26/2025","65.50","65.50","65.50","65.50","","-0.38%"
"02/27/2025","65.55","65.55","65.55","65.55","","0.08%"
"02/28/2025","65.55","65.55","65.55","65.55","","0.00%"
"03/03/2025","65.45","65.45","65.45","65.45","","-0.15%"
"03/04/2025","64.70","64.70","64.70","64.70","","-1.15%"
"03/05/2025","64.60","64.60","64.60","64.60","","-0.15%"
"03/06/2025","64.65","64.65","64.65","64.65","","0.08%"
"03/07/2025","63.65","63.65","63.65","63.65","","-1.55%"
"03/10/2025","64.40","64.40","64.40","64.40","","1.18%"
"03/11/2025","63.95","63.95","63.95","63.95","","-0.70%"
"03/12/2025","63.55","63.55","63.55","63.55","","-0.63%"
"03/13/2025","63.65","63.65","63.65","63.65","","0.16%"
"03/14/2025","63.80","63.80","63.80","63.80","","0.24%"
"03/17/2025","63.80","63.80","63.80","63.80","","0.00%"
"03/18/2025","64.30","64.30","64.30","64.30","","0.78%"
