"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2025","73.74","72.46","73.86","70.84","0.38K","3.03%"
"01/03/2025","74.45","73.94","74.70","73.61","0.62K","0.96%"
"01/06/2025","72.87","73.99","73.99","72.48","0.11K","-2.12%"
"01/07/2025","72.56","72.34","73.01","71.52","0.68K","-0.43%"
"01/08/2025","70.70","72.62","72.68","70.64","0.30K","-2.56%"
"01/09/2025","71.98","71.00","72.19","70.10","0.32K","1.81%"
"01/10/2025","73.34","71.68","73.60","71.06","0.61K","1.89%"
"01/13/2025","75.34","74.00","75.35","74.00","0.13K","2.73%"
"01/14/2025","75.36","75.22","75.59","74.24","0.98K","0.03%"
...
