"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2025","74.60","74.60","74.60","74.60","","2.19%"
"01/03/2025","75.00","75.00","75.00","75.00","","0.54%"
"01/06/2025","74.95","74.95","74.95","74.95","","-0.07%"
"01/07/2025","74.75","74.75","74.75","74.75","","-0.27%"
"01/08/2025","72.70","72.70","72.70","72.70","","-2.74%"
"01/09/2025","73.20","73.20","73.20","73.20","","0.69%"
"01/10/2025","73.55","73.55","73.55","73.55","","0.48%"
"01/13/2025","73.75","73.75","73.75","73.75","","0.27%"
"01/14/2025","73.75","73.75","73.75","73.75","","0.00%"
...
